"ensembl","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00010023174","KCNQ2",1403.49029517936,0.45138293767941,0.204397076193188,2.20836298682072,0.0272189797911348,0.441722127878293
"ENSGALG00010016955","ENSGALG00010016955",762.405073781428,0.581525678770614,0.263367947218106,2.20803512695122,0.02724182458878,0.441722127878293
"ENSGALG00010005826","LRP2BP",23.3898880240464,-1.39037426572707,0.629860420777435,-2.20743234510741,0.0272838687249603,0.441722127878293
"ENSGALG00010018398","LRFN5",307.734898900254,0.653583436451116,0.296197362240912,2.20658088075587,0.0273433539107525,0.441722127878293
"ENSGALG00010009157","ABHD1",50.4998787683567,0.976956053684529,0.442785460577068,2.2063869315205,0.0273569192708364,0.441722127878293
"ENSGALG00010028105","PRKCD",138.425215764983,2.01642466860087,0.913936337157796,2.20630758031971,0.0273624709926775,0.441722127878293
"ENSGALG00010025076","ENSGALG00010025076",28.9499584652146,-1.38672520032346,0.629054918000747,-2.20445808567991,0.0274921445495103,0.443298829051533
"ENSGALG00010006291","ENSGALG00010006291",13.5312296862834,-1.77020619765479,0.803192640500623,-2.2039621734475,0.0275270044260874,0.443344811983414
"ENSGALG00010017387","HS6ST2",589.974277943107,0.556962430293185,0.252855487234385,2.20269070046682,0.0276165561651008,0.444270522000942
NA,"MTERF4",275.09234741577,0.793201379620831,0.360481041110347,2.20039693953842,0.0277787447838444,0.446055898738091
"ENSGALG00010000028","ND4L",212.625004342063,-0.717283446492319,0.326006699845747,-2.20021075282106,0.0277919457520015,0.446055898738091
"ENSGALG00010019871","TAFA1",1521.32696349132,0.469515142855577,0.213555689275095,2.19856068667299,0.0279091749488983,0.446903807075741
"ENSGALG00010018943","ACKR4",10.9823375049017,-1.89650099431118,0.86298819129327,-2.19759785063698,0.0279777765375924,0.446903807075741
"ENSGALG00010026154","ZNF385B",1017.85877287902,0.471577097517657,0.214608103792787,2.19738718707931,0.0279928055774004,0.446903807075741
"ENSGALG00010007117","ENSGALG00010007117",1139.42927543301,-0.741232610515444,0.337341357189194,-2.19727760832993,0.028000625833313,0.446903807075741
"ENSGALG00010005351","DTNA",2230.99518798751,0.418312068615441,0.190412348143093,2.19687469166172,0.0280293967957769,0.446903807075741
"ENSGALG00010011997","DENND5B",620.771972332859,0.585534920098078,0.266622889666629,2.19611647308376,0.0280836078056918,0.446903807075741
"ENSGALG00010022803","ENSGALG00010022803",24.507268312174,1.46707778748112,0.668090374757367,2.19592714236293,0.0280971586396828,0.446903807075741
"ENSGALG00010003581","ENSGALG00010003581",42.047535568037,1.23909447695432,0.564320067022656,2.1957299578088,0.0281112775810612,0.446903807075741
"ENSGALG00010004166","ENSGALG00010004166",255.152271106099,0.584482423356813,0.266230905787466,2.19539659239792,0.0281351613435886,0.446903807075741
"ENSGALG00010001621","DLGAP2",19680.160827791,0.439171925102376,0.200145785146893,2.19426017280381,0.028216710903322,0.447218769412228
"ENSGALG00010025486","B3GALT1",3020.52408203652,0.445847606209123,0.203191802314056,2.1942204416299,0.0282195656967936,0.447218769412228
"ENSGALG00010015593","ENSGALG00010015593",52.0475166886013,0.918317292033713,0.418973660267555,2.19182583326904,0.0283920850270457,0.449438593953841
"ENSGALG00010016745","BEGAIN",5035.58190598478,0.474997837386457,0.216791623551203,2.19103408888983,0.0284493256991055,0.449830605317706
"ENSGALG00010029546","WSB1",991.030469358062,-0.553983828986745,0.253337656395577,-2.18674095619531,0.0287614399292115,0.454247097445278
"ENSGALG00010000020","COX2",21888.3872245961,0.583229190254041,0.266840729376063,2.18568279144555,0.0288388207505433,0.454950462660336
"ENSGALG00010022879","ENSGALG00010022879",24.5399496913418,1.9114748195286,0.875300703540494,2.18379216627714,0.0289775234949588,0.455981487356846
"ENSGALG00010003994","SDR16C5",52.9423565427202,-0.900208828445797,0.412258911226469,-2.18360065466548,0.0289916054203602,0.455981487356846
"ENSGALG00010016541","UBE2J2",113.501594305329,-0.754575000208625,0.345588942605893,-2.18344659559648,0.0290029377201199,0.455981487356846
"ENSGALG00010027311","NFASC",1467.61231212656,0.449360578994268,0.205945635268224,2.18193786146047,0.029114119062104,0.456734219377179
"ENSGALG00010015101","CAP1",138.821448044167,-0.665237765471548,0.305022401529836,-2.18094724235026,0.0291873188928636,0.456734219377179
"ENSGALG00010018017","ENSGALG00010018017",752.618102570146,0.704322021956829,0.323027730367173,2.18037634464463,0.0292295761376622,0.456734219377179
"ENSGALG00010027873","RFX2",152.434476383069,0.723263968765087,0.331753439581911,2.18012500390825,0.0292481967971583,0.456734219377179
"ENSGALG00010023368","ENSGALG00010023368",340.945920977324,-0.671219268260679,0.307967418699059,-2.17951389499609,0.0292935135817754,0.456734219377179
"ENSGALG00010019998","PLEK2",11.7982417088814,1.86412148250341,0.855329019081453,2.17942036446432,0.0293004546666893,0.456734219377179
"ENSGALG00010013314","KIT",243.36616429139,-0.756839196530436,0.347288312597125,-2.1792820808468,0.0293107195589031,0.456734219377179
"ENSGALG00010018484","NLGN1",9765.82188889822,0.479065829331607,0.2198326526817,2.17922962529709,0.0293146141813813,0.456734219377179
"ENSGALG00010019872","VTI1A",2187.87950078533,0.421133808008565,0.193352586430128,2.17806141507577,0.0294014647326713,0.456903200051991
"ENSGALG00010027406","ENSGALG00010027406",42.5519006579331,-1.18115498633186,0.542428765504824,-2.17753014118377,0.0294410354410904,0.456903200051991
"ENSGALG00010010271","HUNK",476.294482250637,0.507693610601477,0.233215432676733,2.17692973734378,0.029485810268565,0.456903200051991
"ENSGALG00010016416","CYP46A1",121.704634617684,-0.752922898083322,0.345937809181545,-2.1764689435499,0.029520213459239,0.456903200051991
"ENSGALG00010018023","ENSGALG00010018023",76.7108924650325,0.815348957504708,0.37462079576856,2.17646475239573,0.0295205265321515,0.456903200051991
"ENSGALG00010023961","ENSGALG00010023961",32.4865059985909,-1.29784213498195,0.596317917702958,-2.17642652761684,0.0295233819974393,0.456903200051991
"ENSGALG00010017958","CAPN10",202.918881656655,0.604499057559246,0.278028682838563,2.17423271364504,0.0296876627326264,0.458932830925903
"ENSGALG00010016083","CDH22",89.259008736112,0.876078358681305,0.403163348479196,2.17301091973273,0.0297794954337586,0.459839232166099
"ENSGALG00010029776","WBP2",129.216060358504,-0.794126427796985,0.365636595203227,-2.17190083874289,0.0298631432080917,0.460617368123918
"ENSGALG00010003069","ENSGALG00010003069",39.8403006902429,1.07455589063386,0.495388579641496,2.16911720373428,0.0300737869015544,0.462306485272284
"ENSGALG00010001313","EMILIN2",29.4118877537033,-1.25199463846407,0.577332282103646,-2.16858588593406,0.0301141376730733,0.462306485272284
"ENSGALG00010029174","CALN1",1301.77440125088,0.474735381832455,0.219046054320241,2.16728570302573,0.0302130759643883,0.462306485272284
"ENSGALG00010028575","SETDB1",42.2404996076589,-1.05510709729391,0.486843807168649,-2.16723943440942,0.0302166019465486,0.462306485272284
"ENSGALG00010027923","AMPD2",175.695767826561,0.663852914604439,0.306339380510794,2.16705052252023,0.030231001982247,0.462306485272284
"ENSGALG00010029021","ENSGALG00010029021",163.909676086478,0.621597713731866,0.28686842134493,2.16683910629695,0.0302471244296967,0.462306485272284
"ENSGALG00010010191","RINT1",91.396982936838,-0.780289974157153,0.360115013636215,-2.16677990256023,0.030251640587523,0.462306485272284
"ENSGALG00010006288","ARF5",225.935272986409,-0.896742665031529,0.413929228855169,-2.16641542205586,0.0302794565213762,0.462306485272284
"ENSGALG00010019442","ENSGALG00010019442",36.7004088508286,-1.73154193045502,0.79953015418742,-2.1656993440289,0.0303341692056279,0.462306485272284
"ENSGALG00010020997","ENSGALG00010020997",52.1731832896051,1.18528648690401,0.547359144580492,2.16546393467573,0.0303521744427115,0.462306485272284
"ENSGALG00010003718","SIAH3",857.277505457956,0.478215885063797,0.220857905541458,2.16526496478085,0.0303673997741793,0.462306485272284
"ENSGALG00010022822","KCNJ13",10.6151542771554,-2.17302526651257,1.00361899208261,-2.16518946298866,0.030373178947208,0.462306485272284
"ENSGALG00010014562","ENSGALG00010014562",26.525454625123,-1.34814384858222,0.62277116730234,-2.16474994245797,0.0304068401593666,0.462310804662334
"ENSGALG00010020379","COL13A1",31.0932042278934,1.39457505431722,0.644684196911425,2.16319100266208,0.0305264919964931,0.463621097196739
"ENSGALG00010027318","ENSGALG00010027318",234.282283701503,0.91300878580644,0.422177529639752,2.16261814451735,0.0305705615311918,0.463781870502231
"ENSGALG00010011386","CTSB",207.634450340282,-0.629783926104093,0.291441481164829,-2.16092755083107,0.0307009363081059,0.463823477387676
"ENSGALG00010001451","HCRTR2",201.170734158296,0.6272197851829,0.290426089760246,2.15965372016228,0.0307994864028153,0.463823477387676
"ENSGALG00010003543","SOX11",750.479208714851,0.483184527575917,0.223771220402323,2.15927913655379,0.0308285177467845,0.463823477387676
"ENSGALG00010015544","RTCB",51.0921318492466,-1.13632893664535,0.526268956049027,-2.15921711433705,0.0308333269194667,0.463823477387676
"ENSGALG00010006021","ENSGALG00010006021",13.3827464196769,-1.7705747939933,0.820052214094565,-2.15910007138781,0.0308424041277711,0.463823477387676
"ENSGALG00010012186","KIF20A",14.0372883360826,-1.64114205867271,0.76060924167775,-2.15766778622447,0.030953670250296,0.463823477387676
"ENSGALG00010006510","ENSGALG00010006510",114.643353558356,-0.752861444976392,0.348981026393432,-2.15731340112352,0.0309812535363971,0.463823477387676
"ENSGALG00010008823","ENSGALG00010008823",251.643569598304,-0.781951218967951,0.362530361153565,-2.15692615779764,0.0310114184377967,0.463823477387676
"ENSGALG00010023226","ENSGALG00010023226",448.54359660552,0.511575451072605,0.237181739680216,2.15689222856002,0.03101406260755,0.463823477387676
"ENSGALG00010004792","ENSGALG00010004792",12.6975295347558,1.73810436040989,0.805860292433639,2.15683087593377,0.0310188444252589,0.463823477387676
"ENSGALG00010011796","METAP2",388.51890864474,-0.550493989703111,0.25532185436259,-2.15607861331502,0.0310775271678736,0.463823477387676
"ENSGALG00010024965","STAT2",52.18311088535,1.04400766542804,0.484280608624961,2.15579076848097,0.0311000066509176,0.463823477387676
"ENSGALG00010014008","ENSGALG00010014008",1512.5826046784,1.91509259955113,0.88848734772156,2.1554528654372,0.0311264132767571,0.463823477387676
"ENSGALG00010007867","ZNF516",579.632890553805,0.536750349614724,0.24906853534934,2.15503073827405,0.0311594289258928,0.463823477387676
"ENSGALG00010009386","TMEM60",191.583247375713,-0.87525213297012,0.406146630142652,-2.15501513003494,0.031160650262266,0.463823477387676
"ENSGALG00010006171","ENSGALG00010006171",666.718932197261,-0.815449665914893,0.378467051182496,-2.15461204183316,0.0311922059319617,0.463823477387676
"ENSGALG00010017356","NSMCE1",218.266187959566,-0.722560468332327,0.335462361620448,-2.15392410892836,0.0312461239419908,0.463823477387676
"ENSGALG00010014380","SNX3",158.119269459918,-0.645007251305237,0.299466226291857,-2.15385641076139,0.0312514342302832,0.463823477387676
"ENSGALG00010011915","RRM2B",148.871860910766,-0.754939028081645,0.350586989548487,-2.15335722826998,0.0312906143419158,0.463823477387676
"ENSGALG00010005862","ENSGALG00010005862",129.592600248444,-0.780264196566115,0.362536187334504,-2.15223810429215,0.031378605949066,0.463823477387676
"ENSGALG00010003047","ENSGALG00010003047",24.3740900219665,1.25152140242856,0.581547219316446,2.15205465843274,0.0313930496906003,0.463823477387676
"ENSGALG00010023046","SLC7A6OS",61.7362378377366,-0.927782169397856,0.431151289781572,-2.15187149241253,0.0314074770890552,0.463823477387676
"ENSGALG00010024282","HIC2",1227.36549225209,0.467843258875446,0.217418017045084,2.15181457927856,0.0314119611117314,0.463823477387676
"ENSGALG00010018366","MARCH4",1491.52726565144,0.47051755119853,0.218700021624191,2.15142891941298,0.0314423606189224,0.463823477387676
"ENSGALG00010018960","RBFOX1",23285.5200711715,0.510741807956986,0.237406455762544,2.1513391719551,0.0314494385503592,0.463823477387676
"ENSGALG00010012440","ENSGALG00010012440",23.9372621205708,-1.23767729792701,0.575414937991847,-2.15093007881653,0.0314817189891688,0.463823477387676
"ENSGALG00010002845","ENSGALG00010002845",27.5112014338305,-1.51297089961825,0.703845264992705,-2.14957885613386,0.0315885423821539,0.463823477387676
"ENSGALG00010001711","CREB5",224.283147176318,0.623314645235491,0.290042702452375,2.14904439920476,0.0316308805757079,0.463823477387676
"ENSGALG00010011273","RUNX1T1",3179.16398433458,0.478911304697589,0.222850779365703,2.14902234607708,0.0316326286082012,0.463823477387676
"ENSGALG00010005591","ENSGALG00010005591",23.4206008599756,-1.62067269073017,0.754300603609136,-2.148576685443,0.0316679714808654,0.463823477387676
"ENSGALG00010003239","RRM1",35.7738989467875,-1.0357121769781,0.482046362617107,-2.14857378314204,0.0316682017571938,0.463823477387676
"ENSGALG00010008428","ENSGALG00010008428",23.9035902748736,-1.34957587929827,0.628652675589959,-2.1467750503595,0.0318111945344705,0.463823477387676
"ENSGALG00010002656","GLRA3",139.941970058902,0.75926833676823,0.353762634233957,2.1462649338655,0.0318518475805473,0.463823477387676
