Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010000685,,112530906
ENSGALG00010000686,,101747443
ENSGALG00010000686,,426408
ENSGALG00010000687,IKZF1,395974
ENSGALG00010000688,,121108155
ENSGALG00010000689,,
ENSGALG00010000690,,
ENSGALG00010000691,,
ENSGALG00010000692,,
ENSGALG00010000693,,
ENSGALG00010000694,,
ENSGALG00010000695,FIGNL1,420946
ENSGALG00010000696,,
ENSGALG00010000697,,107050463
ENSGALG00010000698,,
ENSGALG00010000699,,
ENSGALG00010000700,,
ENSGALG00010000701,,
ENSGALG00010000702,DDC,420947
ENSGALG00010000703,,
ENSGALG00010000704,,100858477
ENSGALG00010000705,,769743
ENSGALG00010000706,,
ENSGALG00010000707,,
ENSGALG00010000708,,
ENSGALG00010000709,,
ENSGALG00010000710,,
ENSGALG00010000711,SPRY2,395584
ENSGALG00010000712,,
ENSGALG00010000713,,
ENSGALG00010000714,FBXL7,428492
ENSGALG00010000715,PCDH20,428063
ENSGALG00010000716,,
ENSGALG00010000717,NDFIP2,418803
ENSGALG00010000718,EEF1G,
ENSGALG00010000719,,
ENSGALG00010000720,RBM26,418804
ENSGALG00010000721,,112531072
ENSGALG00010000721,,107051303
ENSGALG00010000722,ANKH,420917
ENSGALG00010000723,,
ENSGALG00010000724,OBI1,418805
ENSGALG00010000725,,
ENSGALG00010000726,POU4F1,100857623
ENSGALG00010000727,,
ENSGALG00010000728,OTULIN,427097
ENSGALG00010000729,EDNRB,408082
ENSGALG00010000730,INTS5,101750875
ENSGALG00010000731,,
ENSGALG00010000732,,
ENSGALG00010000733,,121107767
ENSGALG00010000734,SLAIN1,418807
ENSGALG00010000735,,
ENSGALG00010000736,,
ENSGALG00010000737,,121107768
ENSGALG00010000738,,
ENSGALG00010000739,,
ENSGALG00010000740,,
ENSGALG00010000741,FAM105A,769855
ENSGALG00010000742,,
ENSGALG00010000743,,
ENSGALG00010000744,,
ENSGALG00010000745,,
ENSGALG00010000746,,
ENSGALG00010000747,,
ENSGALG00010000748,,
ENSGALG00010000749,,
ENSGALG00010000750,,
ENSGALG00010000751,,
ENSGALG00010000752,,
ENSGALG00010000753,TRIO,420919
ENSGALG00010000754,,
ENSGALG00010000755,,
ENSGALG00010000756,,
ENSGALG00010000757,SCEL,101751260
ENSGALG00010000758,,
ENSGALG00010000759,,
ENSGALG00010000760,CDH10,408049
ENSGALG00010000761,,
ENSGALG00010000762,,
ENSGALG00010000763,,
ENSGALG00010000764,,
ENSGALG00010000765,,
ENSGALG00010000766,,
ENSGALG00010000767,,
ENSGALG00010000768,,
ENSGALG00010000769,,
ENSGALG00010000770,CDH12,420912
ENSGALG00010000771,,
ENSGALG00010000772,,
ENSGALG00010000773,,
ENSGALG00010000774,,
ENSGALG00010000775,,
ENSGALG00010000776,,
ENSGALG00010000777,MYCBP2,418808
ENSGALG00010000778,,
ENSGALG00010000779,,
ENSGALG00010000780,,
ENSGALG00010000781,,
ENSGALG00010000782,,121108871
ENSGALG00010000783,DAP,420923
ENSGALG00010000784,FBXL3,428048
ENSGALG00010000785,CLN5,101752092
ENSGALG00010000786,ANKRD33B,420924
ENSGALG00010000787,SNRNP48,420925
ENSGALG00010000788,GATD3AL1,418811
ENSGALG00010000789,ROPN1L,420926
ENSGALG00010000790,MARCH6,420927
ENSGALG00010000791,ACOD1,418812
ENSGALG00010000792,,428499
ENSGALG00010000793,,418813
ENSGALG00010000794,,
ENSGALG00010000795,,
ENSGALG00010000796,,107051871
ENSGALG00010000797,,420928
ENSGALG00010000798,,
ENSGALG00010000799,,
ENSGALG00010000800,LMO7,418815
ENSGALG00010000801,,
ENSGALG00010000802,SEMA5A,420931
ENSGALG00010000803,MTRR,428502
ENSGALG00010000804,,
ENSGALG00010000805,FASTKD3,420932
ENSGALG00010000806,C5orf49,100857376
ENSGALG00010000807,,107051160
ENSGALG00010000808,ADCY2,420935
ENSGALG00010000809,,
ENSGALG00010000810,UCHL3,395626
ENSGALG00010000811,,770405
ENSGALG00010000812,,769778
ENSGALG00010000813,,101750376
ENSGALG00010000814,CDH18,428490
ENSGALG00010000815,,
ENSGALG00010000816,TBC1D4,428062
ENSGALG00010000817,,121108888
ENSGALG00010000818,KLF12,418817
ENSGALG00010000819,,
ENSGALG00010000820,KLF5,418818
ENSGALG00010000821,,100857892
ENSGALG00010000822,BASP1,373905
ENSGALG00010000823,PIBF1,418820
ENSGALG00010000824,,
ENSGALG00010000825,,
ENSGALG00010000826,,
ENSGALG00010000827,,
ENSGALG00010000828,,
ENSGALG00010000829,,
ENSGALG00010000830,,
ENSGALG00010000831,,
ENSGALG00010000832,,
ENSGALG00010000833,,
ENSGALG00010000834,,
ENSGALG00010000835,,
ENSGALG00010000836,,
ENSGALG00010000837,,
ENSGALG00010000838,,
ENSGALG00010000839,,
ENSGALG00010000840,,
ENSGALG00010000841,,
ENSGALG00010000842,,
ENSGALG00010000843,DIS3,418821
ENSGALG00010000844,,
ENSGALG00010000845,,
ENSGALG00010000846,,
ENSGALG00010000847,,
ENSGALG00010000848,,
ENSGALG00010000849,,
ENSGALG00010000850,,
ENSGALG00010000851,,
ENSGALG00010000852,,
ENSGALG00010000853,,
ENSGALG00010000854,,
